Abruzzo,1322247,4
Basilicata,570365,2
Calabria,1965128,5
Campania,5839084,5
Emilia-Romagna,4448841,9
Friuli-Venezia Giulia,1217872,4
Lazio,5898124,5
Liguria,1565307,4
Lombardia,10018806,12
Marche,1538055,5
Molise,310449,2
Piemonte,4392526,8
Puglia,4063888,6
Sardegna,1653135,8
Sicilia,5056641,9
Toscana,3742437,10
Trentino-Alto Adige/Südtirol,1062860,2
Umbria,888908,2
Valle d'Aosta/Vallée d'Aoste,126883,1
Veneto,4907529,7
