Name	Status	2020-02-29	2020-03-04	2020-03-08	2020-03-12	2020-03-16	2020-03-19
Traunstein	County	4	4	4	...	13	20
Unterallgäu	County	0	0	0	0	16	18
Weiden i.d. OPf.	County-level City	0	0	0	...	6	7
Weilheim-Schongau	County	0	0	3	...	17	37
Weißenburg-Gunzenhausen	County	0	0	0	...	2	7
Wunsiedel i. Fichtelgebirge	County	0	0	0	0	2	16
Würzburg	County	0	0	7	...	36	65
Würzburg Stadt	County-level City	0	0	0	...	30	42
Berlin	State	0	1	9	137	332	688
Berlin	County-level City	0	1	9	137	332	688
Brandenburg	State	0	1	4	30	94	204
Barnim	County	0	0	0	4	11	21
Brandenburg an der Havel	County-level City	0	0	0	0	1	1
Cottbus	County-level City	0	0	0	3	13	18
Dahme-Spreewald	County	0	0	0	0	6	12
Elbe-Elster	County	0	0	0	3	5	7
Frankfurt (Oder)	County-level City	0	0	0	0	0	3
Havelland	County	0	0	2	3	4	8
Märkisch-Oderland	County	0	0	0	4	13	20
Oberhavel	County	0	1	1	1	1	14
Oberspreewald-Lausitz	County	0	0	0	2	5	6
Oder-Spree	County	0	0	0	3	11	24
Ostprignitz-Ruppin	County	0	0	0	0	0	6
Potsdam	County-level City	0	0	0	0	1	10
Potsdam-Mittelmark	County	0	0	0	3	7	14
Prignitz	County	0	0	0	0	0	1
Spree-Neiße	County	0	0	0	3	10	25
Teltow-Fläming	County	0	0	1	1	6	10
Uckermark	County	0	0	0	0	0	4
Bremen	State	1	3	4	42	57	119
Bremen	County-level City	1	3	4	38	49	104
Bremerhaven	County-level City	0	0	0	4	8	15
Hamburg	State	2	5	17	80	260	506
Hamburg	County-level City	2	5	17	80	260	506
Hessen [Hesse]	State	8	12	20	91	342	740
Bergstraße	County	0	1	2	6	19	26
Darmstadt	County-level City	0	0	0	0	6	14
Darmstadt-Dieburg	County	0	0	0	1	6	17
Frankfurt am Main	County-level City	3	4	4	15	21	95
Fulda	County	0	0	0	5	38	62
Gießen	County	2	2	2	5	14	39
Groß-Gerau	County	1	1	1	1	10	25
Hersfeld-Rotenburg	County	0	0	0	6	12	16
Hochtaunuskreis	County	1	1	3	4	18	40
Kassel	Region	0	0	1	6	22	58
Lahn-Dill-Kreis	County	1	2	2	5	18	23
Limburg-Weilburg	County	0	0	0	0	3	32
Main-Kinzig-Kreis	County	0	1	1	2	21	40
Main-Taunus-Kreis	County	0	0	0	3	12	28
Marburg-Biedenkopf	County	0	0	0	7	26	27
Odenwaldkreis	County	0	0	0	0	2	8
Offenbach	County	0	0	1	5	11	32
Offenbach am Main	County-level City	0	0	0	1	1	4
Rheingau-Taunus-Kreis	County	0	0	1	5	18	21
Schwalm-Eder-Kreis	County	0	0	0	1	24	52
Vogelsbergkreis	County	0	0	1	2	4	13
Waldeck-Frankenberg	County	0	0	1	4	8	21
Werra-Meißner-Kreis	County	0	0	0	0	1	1
Wetteraukreis	County	0	0	0	1	8	26
Wiesbaden	County-level City	0	0	0	6	19	20
Mecklenburg-Vorpommern [Mecklenburg-Western Pomerania]	State	0	4	8	23	51	133
Landkreis Rostock	County	0	0	0	6	11	12
Ludwigslust-Parchim	County	0	0	0	0	2	13
Mecklenburgische Seenplatte	County	0	1	4	6	9	20
Nordwestmecklenburg	County	0	0	0	0	3	15
Rostock	County-level City	0	0	0	4	8	21
Schwerin	County-level City	0	0	0	1	7	22
Vorpommern-Greifswald	County	0	2	2	2	5	20
Vorpommern-Rügen	County	0	1	2	4	6	10
Niedersachsen [Lower Saxony]	State	1	9	33	129	391	981
Ammerland	County	0	1	1	1	8	14
Aurich	County	0	0	0	1	9	19
Braunschweig	County-level City	0	0	1	2	8	13
Celle	County	0	0	3	6	12	25
Cloppenburg	County	0	0	0	1	2	2
Cuxhaven	County	0	1	3	4	5	18
Delmenhorst	County-level City	0	0	0	1	5	6
Diepholz	County	0	0	0	11	23	32
Emden	County-level City	0	0	0	3	3	7
Emsland	County	0	0	0	3	19	30
Friesland	County	0	0	0	2	2	3
Gifhorn	County	0	0	0	0	7	23
Goslar	County	0	0	0	0	7	14
Göttingen	County	0	0	0	0	8	36
Grafschaft Bentheim	County	0	1	1	1	5	14
Hameln-Pyrmont	County	0	0	0	1	7	13
Harburg	County	0	0	3	3	11	38
Heidekreis (Soltau-Fallingbostel)	County	0	0	0	0	1	2
Helmstedt	County	0	0	0	0	2	7
Hildesheim	County	0	0	2	3	28	73
Holzminden	County	0	0	0	1	4	15
Leer	County	0	1	1	1	3	9
Lüchow-Dannenberg	County	0	0	0	0	0	0
Lüneburg	County	0	0	0	1	3	29
Nienburg (Weser)	County	0	0	0	2	5	8
Northeim	County	0	0	0	3	4	8
Oldenburg	County	0	1	3	4	4	12
Oldenburg Stadt	County-level City	0	0	0	6	15	18
Osnabrück	County	0	0	3	2	2	58
Osnabrück Stadt	County-level City	0	0	0	1	1	58
Osterholz	County	0	0	0	8	13	20
Peine	County	0	0	0	0	2	9
Region Hannover	County	1	2	4	25	96	198
Rotenburg (Wümme)	County	0	2	2	5	12	19
Salzgitter	County-level City	0	0	0	1	2	6
Schaumburg	County	0	0	0	1	3	19
Stade	County	0	0	5	14	22	35
Uelzen	County	0	0	0	1	1	3
Vechta	County	0	0	0	2	6	22
Verden	County	0	0	0	5	12	23
Wesermarsch	County	0	0	0	0	0	4
Wilhelmshaven	County-level City	0	0	1	2	3	5
Wittmund	County	0	0	0	1	3	3
Wolfenbüttel	County	0	0	0	0	0	3
Wolfsburg	County-level City	0	0	0	0	3	8
Nordrhein-Westfalen [North Rhine-Westphalia]	State	68	197	504	1041	2493	4743
Bielefeld	County-level City	0	0	2	...	27	49
Bochum	County-level City	0	1	4	...	20	33
Bonn	County-level City	1	1	4	...	37	76
Borken	County	0	0	5	...	82	164
Bottrop	County-level City	0	0	0	...	4	10
Coesfeld	County	0	0	19	...	50	85
Dortmund	County-level City	0	0	4	...	30	76
Duisburg	County-level City	2	2	3	...	24	55
Düren	County	0	3	5	...	24	80
Düsseldorf	County-level City	0	2	3	...	36	154
Ennepe-Ruhr-Kreis	County	0	0	0	...	17	32
Essen	County-level City	0	3	6	...	52	154
Euskirchen	County	0	0	1	...	11	19
Gelsenkirchen	County-level City	0	0	3	...	13	35
Gütersloh	County	0	1	1	...	71	100
Hagen	County-level City	0	0	0	...	6	11
Hamm	County-level City	0	0	0	...	4	16
Heinsberg	County	59	132	282	...	663	840
Herford	County	0	0	2	...	26	52
Herne	County-level City	0	0	0	...	8	13
Hochsauerlandkreis	County	0	0	0	...	31	80
Höxter	County	0	0	0	...	2	7
Kleve	County	0	0	0	...	36	74
Köln	County-level City	0	7	30	...	241	430
Krefeld	County-level City	0	0	0	...	19	53
Leverkusen	County-level City	0	0	0	...	20	33
Lippe	County	0	0	3	...	56	107
Märkischer Kreis	County	1	4	5	...	17	31
